id,player_id_2025,first_name,second_name,web_name,team,team_name,element_type,position,now_cost,total_points_2024,games_played_2024,season
10147,147,Pervis,Estupiñán Tenorio,Estupiñan,6,Brighton,2,DEF,4.5,63,38,2025
10148,148,Ferdi,Kadıoğlu,F.Kadıoğlu,6,Brighton,2,DEF,4.5,19,36,2025
10149,149,Igor Julio,dos Santos de Paulo,Igor,6,Brighton,2,DEF,4.5,18,38,2025
10150,150,Tariq,Lamptey,Lamptey,6,Brighton,2,DEF,4.5,42,38,2025
10151,151,Jan Paul,van Hecke,Van Hecke,6,Brighton,2,DEF,4.5,87,38,2025
10152,152,Joël,Veltman,Veltman,6,Brighton,2,DEF,4.5,59,38,2025
10153,153,Adam,Webster,Webster,6,Brighton,2,DEF,4.5,39,38,2025
10154,154,Eiran,Cashin,Cashin,6,Brighton,2,DEF,4.0,1,14,2025
10155,155,Jacob,Slater,Slater,6,Brighton,2,DEF,4.0,0,26,2025
10156,156,Charlie,Tasker,Tasker,6,Brighton,2,DEF,4.0,0,9,2025
10157,157,Mitoma,Kaoru,Mitoma,6,Brighton,3,MID,6.5,145,38,2025
10158,158,Georginio,Rutter,Georginio,6,Brighton,3,MID,6.0,95,37,2025
10159,159,Solly,March,March,6,Brighton,3,MID,6.0,7,38,2025
10160,160,Yankuba,Minteh,Minteh,6,Brighton,3,MID,6.0,102,38,2025
10161,161,Julio,Enciso Espínola,Enciso,6,Brighton,3,MID,5.5,59,38,2025
10162,162,Brajan,Gruda,Gruda,6,Brighton,3,MID,5.5,45,38,2025
10163,163,Jack,Hinshelwood,Hinshelwood,6,Brighton,3,MID,5.5,89,38,2025
10164,164,Matt,O'Riley,O'Riley,6,Brighton,3,MID,5.5,50,36,2025
10165,165,Abdallah,Sima,Sima,6,Brighton,3,MID,5.5,50,36,2025
10166,166,Yasin,Ayari,Ayari,6,Brighton,3,MID,5.0,74,38,2025
10167,167,Carlos,Baleba,Baleba,6,Brighton,3,MID,5.0,87,38,2025
10168,168,Facundo,Buonanotte,Buonanotte,6,Brighton,3,MID,5.0,75,38,2025
10169,169,Diego,Gómez Amarilla,Gomez,6,Brighton,3,MID,5.0,14,38,2025
10170,170,James,Milner,Milner,6,Brighton,3,MID,5.0,6,38,2025
10171,171,Jeremy,Sarmiento Morante,Sarmiento,6,Brighton,3,MID,5.0,1,38,2025
10172,172,Tom,Watson,Watson,6,Brighton,3,MID,5.0,102,38,2025
10173,173,Mats,Wieffer,Wieffer,6,Brighton,3,MID,5.0,52,38,2025
10174,174,Malick,Yalcouyé,Yalcouye,6,Brighton,3,MID,5.0,102,38,2025
10175,175,Joe,Knight,Knight,6,Brighton,3,MID,4.5,0,15,2025
10176,176,Adrian,Mazilu,Mazilu,6,Brighton,3,MID,4.5,0,38,2025
10177,177,Andrew,Moran,Moran,6,Brighton,3,MID,4.5,0,38,2025
10178,178,Danny,Welbeck,Welbeck,6,Brighton,4,FWD,6.5,125,38,2025
10179,179,Evan,Ferguson,Ferguson,6,Brighton,4,FWD,5.5,27,38,2025
10180,180,Stefanos,Tzimas,Tzimas,6,Brighton,4,FWD,5.5,126,38,2025
10181,181,Charalampos,Kostoulas,Kostoulas,6,Brighton,4,FWD,5.0,126,38,2025
10220,220,Robert,Lynch Sánchez,Sánchez,7,Chelsea,1,GK,5.0,126,38,2025
10221,221,Filip,Jörgensen,Jörgensen,7,Chelsea,1,GK,4.5,126,38,2025
10222,222,Mike,Penders,Penders,7,Chelsea,1,GK,4.0,18,38,2025
